Dep,Dest,Evenodd,Restriction,Route
OMDB,D,EVEN,,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT
OMDB,D,EVEN,,KUTLI L519 ATUDO M318 GOLGU M550 MEVDO Y511 NALBA M628 DFN G782 JDW
OMDB,D,EVEN,,SENPA N571 ALPOB L768 ULADA T136 EMUSA Q212 KIA G782 JDW
OMDB,E,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860
OMDB,E,EVEN,,DAVMO M318 GABKO M317 ROTAL UP574 SYZ UT430 VUVAG UL333 DASIS
OMDB,E,EVEN,,DAVMO M318 ASMUK W32 ROVAD UL125 ELEDI N39
OMDB,E,EVEN,,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI
OMDB,E,EVEN,,RIDAP M557 TUMAK T557 RAGAS UT430 SYZ UP574 SAV UL124 ZAJ UR654 MAGRI
OMDB,F,EVEN,,ANVIX R401 GIDIS G783 UKRAG L710 DEDSO R401
OMDB,F,EVEN,,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400
OMDB,G,EVEN,,SENPA N571 ALPOB L768 ULADA T136 EMUSA Q212 KIA G782 JDW
OMDB,G,EVEN,,KUTLI L519 ATUDO M318 GOLGU M550 MEVDO Y511 NALBA M628 DFN G782 JDW
OMDB,G,EVEN,,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT
OMDB,H,EVEN,,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400
OMDB,K,EVEN,,RIDAP M557 TUMAK T557 RAGAS UT430 SYZ UP574 SAV UL124 ZAJ UR654 MAGRI
OMDB,K,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860
OMDB,K,EVEN,,RIDAP M557 TUMAK T557 RAGAS UT430 SYZ G663 TBS M318 RIKOP
OMDB,K,EVEN,,DAVMO M318 GABKO M317 RADEB M318 ASMUK W32 PURKI T215 OBRIX N39
OMDB,K,ODD,,DAVMO M318 RIKOP
OMDB,L,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860
OMDB,L,EVEN,,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A727 NOZ A1 METRU 
OMDB,L,EVEN,,DAVMO M318 GABKO M317 ROTAL UP574 SYZ UT430 VUVAG UL333 DASIS
OMDB,M,EVEN,,SENPA N571 ALPOB L768 ULADA T136 EMUSA Q212 KIA G782 JDW
OMDB,M,EVEN,,KUTLI L519 ATUDO M318 GOLGU M550 MEVDO Y511 NALBA M628 DFN G782 JDW
OMDB,M,EVEN,,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT
OMDB,N,ODD,,ANVIX L223 TARDI N629 TOTOX
OMDB,N,ODD,,ANVIX L223 TARDI N629 GIDAN P570 TOLDA N318 REXOD
OMDB,N,ODD,,ANVIX L223 TARDI N629 GIDAN P570 EMURU M300
OMDB,N,ODD,,IVURO M677 LALDO B505 NADSO A777 VAXIM L301
OMDB,N,ODD,,IVURO M677 LALDO B505 NADSO A777 VAXIM P307 PARAR
OMDB,N,ODD,,ANVIX L223 TARDI N629 GIDAN P570
OMDB,OE,EVEN,,SENPA N571 ALPOB L768 ULADA
OMDB,OE,EVEN,,KUTLI L519 ATUDO M318 GOLGU M550
OMDB,OI,ODD,,DAVMO M318 ASMUK W32 ROVAD UL125 RADAL
OMDB,OP,ODD,,IVURO M677 LALDO B505 NADSO B524 ALPOR
OMDB,OP,ODD,,IVURO M428 TARBO M681 DAMUM B524 ALPOR
OMDB,OP,ODD,,IVURO M677 LALDO B505
OMDB,OP,ODD,,IVURO M677 LALDO A791
OMDB,OP,ODD,,DAVMO M318 KHM M561 ASVIB
OMDB,OS,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI M703 ANBAR DCT RAPLU G202
OMDB,OY,EVEN,,KUTLI L519 ATUDO M318 GOLGU
OMDB,S,EVEN,,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A727 NOZ A1 METRU 
OMDB,S,EVEN,,SENPA N571 ALPOB L768 ULADA T136 EMUSA Q212 KIA G782 JDW
OMDB,S,EVEN,,KUTLI L519 ATUDO M318 GOLGU M550 MEVDO Y511 NALBA M628 DFN G782 JDW
OMDB,T,EVEN,,SENPA N571 ALPOB L768 ULADA T136 EMUSA Q212 KIA G782 JDW
OMDB,T,EVEN,,KUTLI L519 ATUDO M318 GOLGU M550 MEVDO Y511 NALBA M628 DFN G782 JDW
OMDB,U,EVEN,,DAVMO M318 ASMUK W32 ROVAD UL125 ELEDI N39
OMDB,U,EVEN,,RIDAP M557 TUMAK T557 RAGAS UT430 SYZ UP574 SAV R654 ZAJ UR654 MAGRI
OMDB,U,EVEN,,DAVMO M318 ASMUK W32 ROVAD UL125 ELEDI N39
OMDB,U,ODD,,DAVMO M318 RIKOP
OMDB,U,ODD,,DAVMO M318 GABKO M317 RADEB M318 TBS Q15 SOMAD
OMDB,U,EVEN,,RIDAP M557 TUMAK T557 RAGAS UT430 SYZ UP574 SAV R654 ZAJ UR654 MAGRI
OMDB,VA,ODD,,IVURO M677 LALDO B505 NADSO A777
OMDB,VA,ODD,,IVURO M677 LALDO B505 NADSO B524 ALPOR
OMDB,VA,ODD,,IVURO M677 LALDO A791
OMDB,VA,ODD,,IVURO M428 MUNGA A777
OMDB,VA,ODD,,IVURO M428 TARBO M681 DAMUM B524 ALPOR
OMDB,VC,ODD,,ANVIX L223 TARDI N629 GIDAN P570
OMDB,VE,ODD,,IVURO M677 LALDO B505 NADSO A777
OMDB,VE,ODD,,IVURO M677 LALDO B505 NADSO B524 ALPOR
OMDB,VE,ODD,,IVURO M677 LALDO A791
OMDB,VE,ODD,,IVURO M428 MUNGA A777
OMDB,VE,ODD,,IVURO M428 TARBO M681 DAMUM B524 ALPOR
OMDB,VE,ODD,,DAVMO M318 KHM M561 ASVIB
OMDB,VG,ODD,,IVURO M677 LALDO B505 NADSO A777
OMDB,VG,ODD,,IVURO M677 LALDO B505 NADSO B524 ALPOR
OMDB,VG,ODD,,IVURO M677 LALDO A791
OMDB,VG,ODD,,IVURO M428 MUNGA A777
OMDB,VG,ODD,,IVURO M428 TARBO M681 DAMUM B524 ALPOR
OMDB,VG,ODD,,DAVMO M318 KHM M561 ASVIB
OMDB,VH,ODD,,IVURO M677 LALDO B505 NADSO A777
OMDB,VH,ODD,,IVURO M677 LALDO B505 NADSO B524 ALPOR
OMDB,VH,ODD,,IVURO M677 LALDO A791
OMDB,VH,ODD,,IVURO M428 MUNGA A777
OMDB,VH,ODD,,IVURO M428 TARBO M681 DAMUM B524 ALPOR
OMDB,VH,ODD,,DAVMO M318 KHM M561 ASVIB
OMDB,VI,ODD,,IVURO M677 LALDO B505 NADSO A777
OMDB,VI,ODD,,IVURO M677 LALDO B505 NADSO B524 ALPOR
OMDB,VI,ODD,,IVURO M677 LALDO A791
OMDB,VI,ODD,,IVURO M428 MUNGA A777
OMDB,VI,ODD,,IVURO M428 TARBO M681 DAMUM B524 ALPOR
OMDB,VI,ODD,,DAVMO M318 KHM M561 ASVIB
OMDB,VO,ODD,,ANVIX L223 TARDI N629 TOTOX
OMDB,VO,ODD,,ANVIX L223 TARDI N629 GIDAN P570 TOLDA N318 REXOD
OMDB,VO,ODD,,ANVIX L223 TARDI N629 GIDAN P570 EMURU M300
OMDB,VO,ODD,,IVURO M677 LALDO B505 NADSO A777 VAXIM L301
OMDB,VO,ODD,,IVURO M677 LALDO B505 NADSO A777 VAXIM P307 PARAR
OMDB,VO,ODD,,ANVIX L223 TARDI N629 GIDAN P570
OMDB,W,ODD,,IVURO M677 LALDO B505 NADSO A777 VAXIM L301
OMDB,W,ODD,,IVURO M677 LALDO B505 NADSO A777 VAXIM P307 PARAR
OMDB,W,ODD,,ANVIX L223 TARDI N629 TOTOX
OMDB,W,ODD,,ANVIX L223 TARDI N629 GIDAN P570 TOLDA N318 REXOD
OMDB,W,ODD,,ANVIX L223 TARDI N629 GIDAN P570 EMURU M300
OMDB,W,ODD,,ANVIX L223 TARDI N629 GIDAN P570
OMDB,Y,ODD,,ANVIX L223 TARDI N629 TOTOX
OMDB,Y,ODD,,ANVIX L223 TARDI N629 GIDAN P570 TOLDA N318 REXOD
OMDB,Y,ODD,,ANVIX L223 TARDI N629 GIDAN P570 EMURU M300
OMDB,Y,ODD,,IVURO M677 LALDO B505 NADSO A777 VAXIM L301
OMDB,Y,ODD,,IVURO M677 LALDO B505 NADSO A777 VAXIM P307 PARAR
OMDB,Y,ODD,,ANVIX L223 TARDI N629 GIDAN P570
OMDB,Z,ODD,,IVURO M677 LALDO B505 NADSO B524 ALPOR
OMDB,Z,ODD,,IVURO M428 TARBO M681 DAMUM B524 ALPOR
OMDB,Z,ODD,,IVURO M677 LALDO B505
OMDB,Z,ODD,,IVURO M677 LALDO A791
OMDB,Z,ODD,,DAVMO M318 KHM M561 ASVIB
OMDB,DAAG,EVEN,,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A727 NOZ A1 METRU UP868 ARLOS P868 VANIX L874 OMENI UL874 DIMAO UW254 CSO UJ7 LIMON UG26 ZEM
OMDB,DGAA,EVEN,,KUTLI L519 ATUDO M318 GOLGU M550 MEVDO Y511 NALBA M628 DFN G782 JDW UM863 IPONO UG622 RIPOL UG616 KAN DCT KDA UV377 LAG UL433 EREKA
OMDB,DGAA,EVEN,,SENPA N571 ALPOB L768 ULADA T136 EMUSA Q212 KIA G782 JDW UM863 IPONO UG622 RIPOL UG616 KAN DCT KDA UV377 LAG UL433 EREKA
OMDB,DGAA,EVEN,,KUTLI L519 ATUDO M318 GOLGU M550 MEVDO Y511 NALBA M628 DFN G782 JDW B407 KAROX UL320 KISAL UQ584 KEMOX UL433 EREKA
OMDB,DNMM,EVEN,,KUTLI L519 ATUDO M318 GOLGU M550 MEVDO Y511 NALBA M628 DFN G782 JDW UM863 IPONO UG622 RIPOL UG616 KAN DCT KDA UV377 LAG
OMDB,DNMM,EVEN,,SENPA N571 ALPOB L768 ULADA T136 EMUSA Q212 KIA G782 JDW UM863 IPONO UG622 RIPOL UG616 KAN DCT KDA UV377 LAG
OMDB,EBBR,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES L619 KARIL DCT ABULI DCT MAKAL DCT ELMEK DCT OKG UL984 OSBIT DCT KONAP DCT ESAMA T880 BATTY
