Dest ICAO,Dest Name,Level Restrictions,Full Route
DAAG,Algiers,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A727 NOZ A1 METRU UP868 ARLOS P868 VANIX L874 OMENI UL874 DIMAO UW254 CSO UJ7 LIMON UG26 ZEM
DGAA,Accra,EVEN,KUTLI L519 ATUDO M318 GOLGU M550 MEVDO Y511 NALBA M628 DFN G782 JDW UM863 IPONO UG622 RIPOL UG616 KAN DCT KDA UV377 LAG UL433 EREKA
DGAA,Accra,EVEN,SENPA N571 ALPOB L768 ULADA T136 EMUSA Q212 KIA G782 JDW UM863 IPONO UG622 RIPOL UG616 KAN DCT KDA UV377 LAG UL433 EREKA
DGAA,Accra,EVEN,KUTLI L519 ATUDO M318 GOLGU M550 MEVDO Y511 NALBA M628 DFN G782 JDW B407 KAROX UL320 KISAL UQ584 KEMOX UL433 EREKA
DNMM,Lagos,EVEN,KUTLI L519 ATUDO M318 GOLGU M550 MEVDO Y511 NALBA M628 DFN G782 JDW UM863 IPONO UG622 RIPOL UG616 KAN DCT KDA UV377 LAG
DNMM,Lagos,EVEN,SENPA N571 ALPOB L768 ULADA T136 EMUSA Q212 KIA G782 JDW UM863 IPONO UG622 RIPOL UG616 KAN DCT KDA UV377 LAG
EBBR,Brussels,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES L619 KARIL DCT ABULI DCT MAKAL DCT ELMEK DCT OKG UL984 OSBIT DCT KONAP DCT ESAMA T880 BATTY
EBBR,Brussels,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 KOMAN L602 NERDI M747 NEKUL P975 MOPUG DCT ABETI DCT TAGAS DCT RENKA UL610 LOHRE T880 BATTY
EDDF,Frankfurt,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 NEPOT L746 EVRIK L850 BUDOP DCT PATAK DCT LALES DCT BABUS DCT SOPGA T170 GAPLA T178 KERAX
EDDH,Hamburg,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES L619 KARIL DCT KEKED DCT KELEL P193 VAGON T710 SUBIX DCT VIBIS L619 BUMIL M748 RARUP
EDDH,Hamburg,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ENIMA L622 NARKA DCT PATAK DCT LALES DCT HDO M748 RARUP
EDDH,Hamburg,EVEN,DAVMO M318 GABKO M317 ROTAL UP574 SYZ UT430 VUVAG UL333 DASIS UR660 ERZ UW704 CRM UL746 ODERO L621 REVDA P193 KARIL DCT KEKED DCT KELEL P193 VAGON T205 GOVEN DCT VIBIS L619 BUMIL M748 RARUP
EDDM,Munich,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 KOMAN L602 TIXIP Q26 DEGET DCT ARSIN DCT SITNI DCT BAGSI DCT MATIG DCT AMADI Q113 NAPSA
EDDM,Munich,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 SRT UL614 GEM UT32 BUK UL602 MAKOL L602 NERDI M747 NEKUL P975 MOPUG DCT SUNIS DCT VATET DCT REDBU Q112 NAPSA
EDDP,Leipzig/Halle,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ENIMA L622 NARKA DCT DEMOP DCT MAKAL DCT BEFRE T204 TEXTI T951 YAWOY
EFHK,Helsinki,EVEN,DAVMO M318 ASMUK W32 ROVAD UL125 ELEDI N39 BAKUV N72 BISNA R704 ARNIS T639 BUTRI N39 TE T563 UK L169 TU R58 NOTAR DCT BIRSI Q141 INTOR
EGBB,Birmingham,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 KOMAN L602 TIXIP Q26 DEGET DCT ABETI DCT TAGAS DCT RENKA UL610 BATTY L608 DENUT L610 HEMEL T420 BUZAD
EGCC,Manchester,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 KOMAN L602 TIXIP Q26 DEGET DCT ABETI DCT TAGAS DCT RENKA UL610 BATTY L608 DENUT L610 LAM UN57 WELIN T420 TNT
EGCC,Manchester,EVEN,DAVMO M318 GABKO M317 ROTAL UP574 SYZ UT430 VUVAG UL333 DASIS UR660 ERZ UW704 CRM UL746 ODERO L746 NEPOT L851 DEGET DCT ABETI DCT TAGAS DCT RENKA UL610 BATTY L608 DENUT L610 LAM UN57 WELIN T420 TNT
EGKK,Gatwick,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 KOMAN L602 TIXIP Q26 DEGET DCT ABETI DCT TAGAS DCT RENKA UL610 BATTY L608 DENUT L610 TEBRA
EGKK,Gatwick,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 SRT UL614 GEM UT32 BUK UA4 BKZ UL615 VADEN L615 DOLAP DCT ROTAR DCT AKADO DCT LAPAB DCT VIC DCT DIBAX DCT SUXAN UL613 DIDOR UT10 IRBAL UT421 KUNAV
EGLL,Heathrow,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 KOMAN L602 TIXIP Q26 DEGET DCT ABETI DCT TAGAS DCT RENKA UL610 BATTY L608 LOGAN
EGNT,Newcastle,EVEN,RIDAP M557 TUMAK T557 RAGAS UT430 LAGSA UL223 UMH UL852 NEGEM T746 ARGES DCT BUDOP DCT PATAK DCT LALES DCT BABUS DCT VARIK DCT ROBEL L602 NALAX L46 RIMTO
EGNT,Newcastle,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES L619 KARIL DCT ABULI DCT MAKAL DCT VARIK DCT TAMEB L602 NALAX L46 RIMTO
EGNT,Newcastle,EVEN,DAVMO M318 GABKO M317 ROTAL UP574 SYZ UT430 VUVAG UL333 DASIS UR660 ERZ UW704 CRM UL746 ODERO L746 BALBI M747 ENIMA L622 NARKA DCT AMRAX DCT LALES DCT BABUS DCT VARIK DCT TAMEB L602 NALAX L46 RIMTO
EGNT,Newcastle,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES L619 KARIL DCT PITOK DCT TEPNI DCT BILNA DCT SOPAV DCT REGLI L617 ADVAB L619 DENKO L996 VAVUN M602 BINKA DCT KOSEB DCT BAVTA L983 CUTEL UP16 ROBEM
EGPF,Glasgow,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ENIMA L622 NARKA DCT AMRAX DCT LALES DCT BABUS DCT VARIK DCT TAMEB L602 EMLON M79 NATEB Y96 AGPED
EGPF,Glasgow,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES L619 KARIL DCT PITOK DCT TEPNI DCT BILNA L617 ADVAB L619 DENKO L996 VAVUN M602 BINKA DCT KOSEB DCT BAVTA L983 CUTEL UP16 NATEB Y96 AGPED
EGPF,Glasgow,EVEN,DAVMO M318 ASMUK W32 ROVAD UL125 ELEDI N39 PIROG N23 MOTEG B945 DETIR R704 ARNIS T639 BUTRI N39 TE G724 BUGOR N9 BATKU DCT EKLIN P141 LEP Z442 GELDA DCT MADAG M869 EVAKI T55 CUTEL UP16 NATEB Y96 AGPED
EGPF,Glasgow,EVEN,DAVMO M318 ASMUK W32 ROVAD UL125 ELEDI N39 PIROG N23 MOTEG B945 DETIR R704 ARNIS T639 BUTRI N39 TE T563 UK L169 TU R58 NOTAR Y168 DOHOR DCT NEBSI P607 TEB N623 BEDLA P609 TOR Z132 ULMUG M125 ZOL P600 KLONN UP600 PTH
EGPH,Edinburgh,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ENIMA L622 NARKA DCT AMRAX DCT LALES DCT BABUS DCT VARIK DCT TAMEB L602 EMLON M79 NATEB Y96 AGPED
EGSS,Stansted,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 NEPOT L746 EVRIK L850 BUDOP DCT PATAK DCT LALES DCT BABUS DCT VARIK DCT TAMEB L602 RKN DCT NIGUG DCT ODVIL DCT NOGRO M40 IDESI
EHAM,Amsterdam,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ENIMA L622 NARKA DCT AMRAX DCT LALES DCT BABUS DCT VARIK DCT SODRO DCT SOPOD DCT PEXAM DCT NORKU
EIDW,Dublin,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 NEPOT L746 EVRIK L850 BUDOP DCT PATAK DCT LALES DCT BABUS DCT VARIK DCT ROBEL L602 BERGI DCT RAVLO Y70 OTBED L60 PENIL UL28 LELDO M145 BAGSO
EKCH,Helsinki,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES L619 KARIL DCT KENIN DCT LENOV N133 POLON M70 BABEN L617 ROE M743 TIDVU
ENGM,Oslo,EVEN,DAVMO M318 ASMUK W32 ROVAD UL125 ELEDI N39 PIROG N23 MOTEG B945 DETIR R704 ARNIS T639 BUTRI N39 TE T563 UK L169 TU R58 NOTAR Y168 DOHOR DCT NEBSI P607 TEB N623 ESEBA
ENGM,Oslo,EVEN,RIDAP M557 TUMAK T557 RAGAS UT430 SYZ UP574 SAV UL124 ZAJ UR654 MAGRI N77 ADANO N82 LAPTO A234 SORLU R11 BUTRI N39 TE T563 UK L169 TU R58 NOTAR Y168 DOHOR DCT NEBSI P607 TEB N623 ESEBA
ENGM,Oslo,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES L619 KARIL DCT KENIN DCT LENOV N133 POLON N983 ROE L617 SABAK L997 LUNIP
EPWA,Warsaw,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES L619 KARIL DCT KENIN DCT LENOV DCT LOGDA
EPWA,Warsaw,EVEN,DAVMO M318 GABKO M317 ROTAL UP574 SYZ UT430 VUVAG UL333 DASIS UR660 ERZ UW704 CRM UL746 ODERO L621 REVDA P193 KARIL DCT KENIN DCT LENOV DCT LOGDA
ESSA,Stockholm,EVEN,RIDAP M557 TUMAK T557 RAGAS UT430 SYZ UP574 SAV UL124 ZAJ UR654 MAGRI N77 ADANO N82 LAPTO A234 SORLU R11 BUTRI N39 TE T563 UK L169 TU R58 NOTAR DCT LUPET L77 XILAN
ESSA,Stockholm,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM DCT LUGEB L623 BCU N616 XILAN
FACT,Cape Town,EVEN,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 VEDET UL437G ITMAR UL437 KOBOD UB400 GBV UT969 ESPUV UQ59 SSV UQ60 NEXIT UQ23 CSV UZ26 ERDAS
FACT,Cape Town,EVEN,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 VEDET UL437G ITMAR UL437 DVL UM315 USUBI UR409 VMV UA405 GWV UZ11 NESAG UZ7 OKPIT DCT RAGUL UQ10 CSV UZ26 ERDAS
FACT,Cape Town,EVEN,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 VEDET UL437G ITMAR UL437 DV UM310 VBR UM307 EPSEK UZ33 NESAG UZ7 OKPIT DCT RAGUL UQ10 CSV UZ26 ERDAS
FALE,Durban,EVEN,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 VEDET UL437G ITMAR UL437 DV UM310 VMA UB529 ITMIL
FAOR,Johannesburg,EVEN,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 VEDET UL437G ITMAR UL437 DVL UM315 USUBI UR409 VMV UA405 GWV UZ11 NESAG UZ7 OKPIT
FAOR,Johannesburg,EVEN,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 VEDET UL437G ITMAR UL437 DV UM310 VBR UM307 EPSEK UZ33 NESAG UZ7 OKPIT
FIMP,Mauritius,EVEN,ANVIX R401 GIDIS G783 UKRAG L710 DEDSO R401 SUHIL UR401G AXINA UM314 PRA UM313 ALRAN UR400F UTIVA
FLKK,Lusaka,EVEN,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 RIGAM UB403 BOMIX UB403G MUSBI UB403 MAV UP312 MB UR779 VLS
FNLU,Luanda,EVEN,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 RIGAM B404 DEMGO UB404G HARGA UM216G AXAPO UM216 UTIVO DCT UNDOS UM306 VNA
FSIA,Seychelles,EVEN,ANVIX R401 GIDIS G783 UKRAG L710 DEDSO R401 SUHIL UR401G AXINA UM314 UDLET T123 ROUTY
GUCY,Conakry,EVEN,SENPA N571 ALPOB L768 ULADA T136 EMUSA Q212 KIA G782 JDW UM863 IPONO UG622 ZR UG854 GIA
GUCY,Conakry,EVEN,KUTLI L519 ATUDO M318 GOLGU M550 MEVDO Y511 NALBA M628 DFN G782 JDW UM863 IPONO UG622 ZR UG854 GIA
GUCY,Conakry,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A727 NOZ A1 METRU UP868 ARLOS N4 EVIRA M978 GZO M980 BASMO UM980 TBS UG864 BRENA UA854 SADKA UM372 BUMBI UR72 DESOR DCT MENAB
HAAB,Addis Ababa,EVEN,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 RIGAM B404 DEMGO UB404G HARGA UW885G ARSHI W885 DWA UT667 MIWAS
HECA,Cairo,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO
HKJK,Nairobi,EVEN,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 RIGAM UB403 BOMIX UB403G MUSBI UB403 MAV UP312 WAV UT932 NV
HRYR,Kigali,EVEN,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 RIGAM B404 DEMGO UB404G HARGA UM216G AXAPO UM216 LOV UL432 ALSAR
HSSS,Khartoum,EVEN,SENPA N571 ALPOB L768 ULADA T136 EMUSA Q212 KIA G782 JDW B407 KAROX UL311 PASIL
HTDA,Dar es Salaam,EVEN,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 VEDET UL437G ITMAR UL437 ELAVA
KEWR,Newark,EVEN,RIDAP M557 TUMAK T557 RAGAS UT430 SYZ UP574 SAV UL124 ZAJ UR654 MAGRI DCT ADILA DCT LAPTO A234 SORLU R11 BUTRI N39 TE T563 UK L169 TU R58 NOTAR DCT KELAS DCT LEPTI DCT 64N000E 64N010W 64N020W 63N030W 62N040W 60N050W DCT CUDDY DCT YBC DCT BAREE DCT YSC DCT HANAA
KJFK,Kennedy,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES L619 BUKEL DCT EDETA L619 KARIL DCT KENIN DCT LENOV DCT KOLOB DCT NERDO DCT GUNPA DCT 62N010W 62N020W 62N030W 60N040W 57N050W DCT HOIST DCT YYR DCT PQI J55 ENE
KMCO,Orlando,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES DCT KARIL DCT KEKED DCT KELEL DCT NAXAR DCT BINKA DCT KOSEB DCT RASVI DCT GUNPA DCT 63N010W 63N020W 63N030W 62N040W 60N050W DCT AVUTI DCT DUVBI DCT YWK DCT RJ DCT YMX DCT SYR J59 PSB DCT FINKS DCT GSO DCT CHS DCT IGARY Q85 LPERD DCT OMN
KORD,Chicago,EVEN,RIDAP M557 TUMAK T557 RAGAS UT430 SYZ G663 TBS M318 RIKOP B114 ASB B359 MAVAX A370 URG A299 AKALI L985 RAVNI A241 KST L165 ANODI N990 MAGUN DCT 87N000E 87N020W 87N040W 86N060W 84N080W 80N090W 75N090W 70N090W 6430N09000W 55N090W DCT GRB DCT FGHRN MADII5
KORD,Chicago,EVEN,DAVMO M318 GABKO M317 RADEB M318 ASMUK W32 PURKI T215 OBRIX N39 BAKUV N72 BISNA R704 ARNIS T639 BUTRI N39 TE T563 UK L169 TU A493 OKUDI T561 SPB T562 RATLA DCT ABAXI DCT NORVA DCT 70N000E 71N020W 70N040W 69N050W DCT EPMAN DCT KENKI DCT TEFFO DCT PIGLA DCT 50N085W DCT FOLGO
KORD,Chicago,EVEN,DAVMO M318 ASMUK W32 ROVAD UL125 ELEDI N39 BAKUV N72 BISNA R704 ARNIS T639 BUTRI N39 TE T563 UK L169 TU A493 OKUDI T561 SPB T562 RATLA DCT ABAXI DCT NORVA DCT 70N000E 71N020W 70N040W 69N050W DCT EPMAN DCT KENKI DCT TEFFO DCT GW DCT YMO DCT 4700N08630W DCT SAW DCT GRB MADII4
